券商,交易日期,交易时间,证券代码,证券名称,买卖标志,成交价格,成交数量,成交金额,手续费,印花税,过户费,其他费,发生金额
海通两融,2023-08-22,09:36:13.000000000,603967,中创物流,卖出,9.36,10600.0,99216.0,10.91,99.24,1.0,0.0,99104.85
海通两融,2023-08-04,10:07:37.000000000,603967,中创物流,买入,9.43,10600.0,99958.0,11.0,0.0,1.01,0.0,-99970.01
海通两融,2023-08-22,09:58:46.000000000,603626,科森科技,买入,6.35,15700.0,99695.0,10.97,0.0,1.02,0.0,-99706.99
海通两融,2023-08-22,09:35:09.000000000,603167,渤海轮渡,卖出,7.11,13600.0,96696.0,10.64,96.67,0.98,0.0,96587.71
海通两融,2023-08-22,10:03:59.000000000,600525,长园集团,买入,4.88,8500.0,41480.0,5.0,0.0,0.35,0.0,-41485.35
海通两融,2023-08-09,10:12:16.000000000,600336,澳柯玛,买入,5.72,17400.0,99528.0,10.95,0.0,1.0,0.0,-99539.95
海通两融,2023-08-22,09:39:25.000000000,600333,长春燃气,卖出,5.04,3900.0,19656.0,5.0,19.64,0.23,0.0,19631.13
海通两融,2023-08-04,09:36:55.000000000,600300,维维股份,卖出,3.27,16400.0,53628.0,5.9,53.65,0.54,0.0,53567.91
海通两融,2023-08-25,10:03:57.000000000,600097,开创国际,卖出,11.35,5200.0,59020.0,6.49,59.02,0.58,0.0,58953.91
海通两融,2023-08-04,10:40:55.000000000,600051,宁波联合,卖出,7.75,6800.0,52700.0,5.8,52.72,0.54,0.0,52640.94
海通两融,2023-08-22,09:34:39.000000000,300642,透景生命,卖出,18.106,2500.0,45266.0,5.0,45.26,0.0,0.0,45215.74
海通两融,2023-08-04,09:39:38.000000000,300241,瑞丰光电,买入,5.13,9700.0,49761.0,5.47,0.0,0.0,0.0,-49766.47
海通两融,2023-08-09,10:06:20.000000000,002225,濮耐股份,卖出,3.87,13200.0,51084.0,5.62,51.1,0.0,0.0,51027.28
海通两融,2023-08-04,10:00:52.000000000,002136,安 纳 达,买入,11.78,8400.0,98952.0,10.88,0.0,0.0,0.0,-98962.88
海通两融,2023-09-18,10:01:07.000000000,002956,西麦食品,买入,14.34,5200.0,74566.6,7.11,0.0,0.0,0.0,-74573.71
海通两融,2023-09-18,09:58:47.000000000,002956,西麦食品,买入,14.28,1700.0,24276.0,5.0,0.0,0.0,0.0,-24281.0
海通两融,2023-09-15,14:12:59.000000000,603897,长城科技,买入,17.8,1400.0,24920.0,5.0,0.0,0.25,0.0,-24925.25
海通两融,2023-09-15,14:11:32.000000000,603897,长城科技,买入,17.81,4200.0,74802.0,7.14,0.0,0.78,0.0,-74809.92
海通两融,2023-09-13,09:52:16.000000000,605288,凯迪股份,买入,39.029,2500.0,97573.0,9.31,0.0,1.0,0.0,-97583.31
海通两融,2023-09-12,14:31:39.000000000,603626,科森科技,卖出,7.43,15700.0,116651.0,11.13,58.32,1.17,0.0,116580.38
海通两融,2023-09-11,09:50:24.000000000,300241,瑞丰光电,卖出,5.116,9700.0,49621.0,5.0,24.82,0.0,0.0,49591.18
海通两融,2023-09-11,10:00:01.000000000,300215,电科院,买入,5.01,20000.0,100200.0,9.56,0.0,0.0,0.0,-100209.56
海通两融,2023-09-05,09:55:34.000000000,300464,星徽股份,买入,6.176,16100.0,99427.0,9.49,0.0,0.0,0.0,-99436.49
海通两融,2023-09-05,09:41:40.000000000,002136,安 纳 达,卖出,11.61,8400.0,97524.0,9.3,48.75,0.0,0.0,97465.95
海通两融,2023-09-05,09:52:06.000000000,600793,宜宾纸业,卖出,11.966,4000.0,47865.0,5.0,23.94,0.48,0.0,47835.58
海通两融,2023-09-05,09:48:44.000000000,600513,联环药业,卖出,9.352,5100.0,47697.0,5.0,23.84,0.48,0.0,47667.68
海通两融,2023-09-05,09:45:24.000000000,600590,泰豪科技,买入,6.55,15200.0,99560.0,9.5,0.0,1.0,0.0,-99570.5
海通两融,2023-09-01,14:56:39.000000000,000698,沈阳化工,买入,4.19,23800.0,99722.0,9.51,0.0,0.0,0.0,-99731.51
海通两融,2023-09-01,10:23:28.000000000,300889,爱克股份,卖出,15.21,1700.0,25857.0,5.0,12.92,0.0,0.0,25839.08
海通两融,2023-09-01,10:23:17.000000000,300889,爱克股份,卖出,15.21,3800.0,57798.0,5.51,28.89,0.0,0.0,57763.6
海通两融,2023-09-01,10:22:36.000000000,300889,爱克股份,卖出,15.22,1500.0,22830.0,5.0,11.42,0.0,0.0,22813.58
海通两融,2023-09-01,14:53:33.000000000,600336,澳柯玛,卖出,6.362,17400.0,110697.0,10.56,55.35,1.11,0.0,110629.98
海通两融,2023-10-31,09:44:45.000000000,002111,威海广泰,买入,9.24,5400.0,49896.0,5.0,0.0,0.0,0.0,-49901.0
海通两融,2023-10-31,09:31:53.000000000,002956,西麦食品,卖出,14.13,5000.0,70650.0,6.74,35.35,0.0,0.0,70607.91
海通两融,2023-10-31,09:31:31.000000000,002956,西麦食品,卖出,14.14,1900.0,26866.0,5.0,13.45,0.0,0.0,26847.55
海通两融,2023-10-31,09:43:13.000000000,002492,恒基达鑫,买入,5.91,8400.0,49644.0,5.0,0.0,0.0,0.0,-49649.0
