"ts_code","sub_code","name","ipo_date","issue_date","amount","market_amount","price","pe","limit_amount","funds","ballot"
"301591.SZ","301591","肯特股份",2024-02-08,2024-02-28,2103,1020,19.43,22.81,0.55,4.086,0.03
"301589.SZ","301589","诺瓦星云",2024-01-30,2024-02-08,1284,514,126.89,21.93,0.3,16.293,0.03
"688584.SH","787584","上海合晶",2024-01-30,2024-02-08,6621,1622,22.66,42.05,1.05,15.002,0.06
"688709.SH","787709","成都华微",2024-01-29,2024-02-07,9560,2301,15.69,37.04,1.5,15,0.06
"870656.BJ","889998","海昇药业",2024-01-24,2024-02-02,2000,1600,19.9,14.53,95,3.98,0.23
"301502.SZ","301502","华阳智能",2024-01-24,2024-02-02,1427,692,28.01,25.58,0.4,3.997,0.03
"603082.SH","732082","北自科技",2024-01-19,2024-01-30,4056,2596,21.28,28.19,1.25,8.631,0.04
"831396.BJ","889001","许昌智能",2024-01-17,2024-01-26,3738,2600,4.6,30.56,154.37,1.719,0.08
"301577.SZ","301577","美信科技",2024-01-15,2024-01-24,1110,1110,36.51,25.22,1.1,4.051,0.02
"603375.SH","732375","盛景微",2024-01-15,2024-01-24,2517,1611,38.18,22.27,0.8,9.609,0.03
"601033.SH","780033","永兴股份",2024-01-09,2024-01-18,15000,10500,16.2,21.76,4.5,24.3,0.08
"001379.SZ","001379","腾达科技",2024-01-09,2024-01-19,5000,4000,16.98,26.05,2,8.49,0.04
"837403.BJ","889868","康农种业",2024-01-08,2024-01-18,1513,1053,11.2,16.95,62.51,1.695,0.08
"301567.SZ","301567","贝隆精密",2024-01-05,2024-01-16,1800,1800,21.46,30.35,1.8,3.863,0.02
"873806.BJ","889111","云星宇",2024-01-03,2024-01-11,8334,5073,4.63,22.11,307.98,3.858,0.14
"001387.SZ","001387","雪祺电气",2024-01-02,2024-01-11,3419,2735,15.38,22.53,1.35,5.258,0.03
"603312.SH","732312","西典新能",2024-01-02,2024-01-11,4040,2688,29.02,30.55,1.25,11.724,0.04
"603325.SH","732325","博隆技术",2023-12-29,2024-01-10,1667,1334,72.46,20.78,0.65,12.079,0.03
"873690.BJ","889977","捷众科技",2023-12-26,2024-01-05,1380,960,9.34,17.46,57,1.289,0.07
"688717.SH","787717","艾罗能源",2023-12-22,2024-01-03,4000,1280,55.66,7.95,0.95,22.264,0.04
"301566.SZ","301566","达利凯普",2023-12-20,2023-12-29,6001,1933,8.9,20.99,0.95,5.341,0.03
"301578.SZ","301578","辰奕智能",2023-12-19,2023-12-28,1200,582,48.94,24.24,0.3,5.873,0.03
"871263.BJ","889263","莱赛激光",2023-12-18,2023-12-28,2204,1533,7.28,17.34,91.04,1.605,0.09
"603004.SH","732004","鼎龙科技",2023-12-18,2023-12-27,5888,4710,16.8,26.37,2.35,9.892,0.05
"301526.SZ","301526","国际复材",2023-12-15,2023-12-26,70000,21457,2.66,10.21,9.8,18.62,0.11
"601096.SH","780096","宏盛华源",2023-12-13,2023-12-22,66879,46815,1.7,31.54,20.05,11.369,0.25
"836961.BJ","889999","西磁科技",2023-12-12,2023-12-21,1770,1231,8.09,18.61,73.1,1.432,0.08
"001358.SZ","001358","兴欣新材",2023-12-12,2023-12-21,2200,1760,41,17.43,0.85,9.02,0.03
"603373.SH","732373","安邦护卫",2023-12-11,2023-12-20,2688,2151,19.1,19.86,1.05,5.134,0.04
"833284.BJ","889625","灵鸽科技",2023-12-08,2023-12-19,1725,1200,5.6,15.49,71.25,0.966,0.06
"301413.SZ","301413","安培龙",2023-12-07,2023-12-18,1892,823,33.25,35.92,0.45,6.292,0.03
"831175.BJ","889988","派诺科技",2023-12-06,2023-12-14,1150,800,11.52,16.81,47.5,1.325,0.08
